
--- Training with CROSS_ENTROPY ---
Epoch 1 | Train Loss: 0.2111 | Val Acc: 0.9356
Epoch 2 | Train Loss: 0.1517 | Val Acc: 0.9499
Epoch 3 | Train Loss: 0.1188 | Val Acc: 0.9574
Epoch 4 | Train Loss: 0.0864 | Val Acc: 0.9663
Epoch 5 | Train Loss: 0.0693 | Val Acc: 0.9691
Epoch 6 | Train Loss: 0.0595 | Val Acc: 0.9698
Epoch 7 | Train Loss: 0.0540 | Val Acc: 0.9698
Epoch 8 | Train Loss: 0.0494 | Val Acc: 0.9708
Epoch 9 | Train Loss: 0.0419 | Val Acc: 0.9730
Epoch 10 | Train Loss: 0.0373 | Val Acc: 0.9732
