Loading mnist dataset
Initializing Neural Network with 4 hidden layers and hidden sizes [32, 32, 128, 32]
Loaded previous global best accuracy: 0.9748
Starting training
Epoch 1/15 - Train Loss: 2.3026, Train Acc: 0.1073 - Val Loss: 2.3020, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3022, Train Acc: 0.1086 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3017, Train Acc: 0.1083 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3022, Train Acc: 0.1105 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.3015, Train Acc: 0.1100 - Val Loss: 2.3015, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3017, Train Acc: 0.1099 - Val Loss: 2.3019, Val Acc: 0.1028
Epoch 7/15 - Train Loss: 2.3019, Train Acc: 0.1112 - Val Loss: 2.3015, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3021, Train Acc: 0.1095 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.3024, Train Acc: 0.1109 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.3022, Train Acc: 0.1105 - Val Loss: 2.3023, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3020, Train Acc: 0.1102 - Val Loss: 2.3016, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3022, Train Acc: 0.1108 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3016, Train Acc: 0.1101 - Val Loss: 2.3012, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3018, Train Acc: 0.1121 - Val Loss: 2.3019, Val Acc: 0.1010
Epoch 15/15 - Train Loss: 2.3019, Train Acc: 0.1101 - Val Loss: 2.3020, Val Acc: 0.1135
